datetime,avg_temperature_2m_24h,avg_relative_humidity_2m_24h,avg_dew_point_2m_24h,total_apparent_temperature_24h,avg_temperature_80m_24h,avg_temperature_120m_24h,avg_wind_speed_10m_24h,avg_wind_speed_80m_24h,avg_visibility_24h,total_rain_24h,total_showers_24h,total_snowfall_24h,avg_temperature_2m_daylight,avg_relative_humidity_2m_daylight,avg_dew_point_2m_daylight,total_apparent_temperature_daylight,avg_temperature_80m_daylight,avg_temperature_120m_daylight,avg_wind_speed_10m_daylight,avg_wind_speed_80m_daylight,avg_visibility_daylight,total_rain_daylight,total_showers_daylight,total_snowfall_daylight,daylight_hours,sunrise (datetime),sunset (datetime)
2025-06-16,22.167,67.417,15.263,22.812,20.85,20.246,2.4,4.467,24131.668,0.0,0.013,0.0,23.055,61.778,14.765,23.411,21.388,20.694,2.661,4.588,24140.001,0.0,0.0,0.0,17.35,2025-06-15T21:48:15Z,2025-06-16T15:09:10Z
2025-06-17,22.8,62.167,14.283,24.183,22.542,22.083,0.658,1.117,24060.001,0.0,0.0,0.0,24.061,56.749,14.021,25.442,23.059,22.55,0.707,1.081,24029.338,0.0,0.0,0.0,17.36,2025-06-16T21:48:11Z,2025-06-17T15:09:38Z
2025-06-18,24.825,58.958,15.388,26.558,24.942,24.517,0.942,2.017,24140.001,0.0,0.0,0.0,26.269,53.651,15.246,28.136,25.336,24.795,0.883,1.529,24140.001,0.0,0.0,0.0,17.36,2025-06-17T21:48:11Z,2025-06-18T15:10:02Z
2025-06-19,26.433,56.708,16.112,27.925,27.267,27.1,1.621,3.462,24140.001,0.0,0.0,0.0,28.261,49.708,15.839,29.621,27.804,27.462,1.831,3.387,24140.001,0.0,0.0,0.0,17.37,2025-06-18T21:48:16Z,2025-06-19T15:10:22Z
2025-06-20,24.012,60.458,15.7,24.638,23.621,23.483,2.529,5.279,24035.001,0.0,0.0,0.0,24.16,57.909,15.149,24.375,22.891,22.489,2.893,5.349,23994.895,0.0,0.0,0.0,17.37,2025-06-19T21:48:24Z,2025-06-20T15:10:40Z
2025-06-21,20.429,74.375,15.638,20.729,19.488,19.054,3.096,6.583,21414.167,0.0,0.226,0.0,20.797,71.812,15.454,20.896,19.566,19.001,3.339,6.714,20388.478,0.0,0.313,0.0,17.37,2025-06-20T21:48:37Z,2025-06-21T15:10:54Z
2025-06-22,22.354,56.625,12.338,21.55,21.2,20.65,3.529,7.354,23245.001,0.0,0.008,0.0,23.895,49.343,11.802,22.975,22.437,21.816,3.639,7.219,23662.177,0.0,0.004,0.0,17.37,2025-06-21T21:48:53Z,2025-06-22T15:11:04Z
2025-06-23,22.929,54.833,12.904,22.862,22.112,21.942,2.358,4.996,22864.167,0.0,0.004,0.0,23.534,50.364,12.183,23.27,22.234,21.847,2.419,4.618,24018.59,0.0,0.0,0.0,17.37,2025-06-22T21:49:13Z,2025-06-23T15:11:11Z
2025-06-24,19.029,73.458,14.0,18.683,17.771,17.233,3.154,6.337,13893.334,0.354,0.133,0.0,19.3,70.806,13.693,18.649,17.719,17.04,3.514,6.789,12574.268,0.001,0.071,0.0,17.36,2025-06-23T21:49:37Z,2025-06-24T15:11:14Z
2025-06-25,17.329,66.25,10.571,16.533,15.929,15.217,1.879,3.367,23380.834,0.0,0.008,0.0,18.028,61.343,10.095,17.16,16.396,15.687,1.742,2.812,23089.857,0.0,0.012,0.0,17.35,2025-06-24T21:50:05Z,2025-06-25T15:11:13Z
2025-06-26,17.975,50.917,6.854,16.521,16.571,16.179,2.0,3.863,24140.001,0.0,0.0,0.0,19.1,45.487,6.284,17.659,17.33,16.779,2.002,3.402,24140.001,0.0,0.0,0.0,17.34,2025-06-25T21:50:36Z,2025-06-26T15:11:09Z
2025-06-27,20.004,49.667,8.604,18.521,19.004,18.683,2.812,6.192,24140.001,0.0,0.0,0.0,21.321,46.232,8.715,19.772,19.63,19.089,3.279,6.387,24140.001,0.0,0.0,0.0,17.33,2025-06-26T21:51:10Z,2025-06-27T15:11:02Z
2025-06-28,21.004,61.542,13.192,21.342,19.787,19.483,1.762,3.613,23217.501,0.0,0.18,0.0,21.889,61.211,13.921,22.541,20.216,19.671,1.742,2.933,23147.179,0.0,0.249,0.0,17.32,2025-06-27T21:51:47Z,2025-06-28T15:10:50Z
2025-06-29,20.808,72.583,15.388,21.787,19.875,19.304,1.746,3.446,21711.667,0.0,0.034,0.0,21.645,67.436,15.093,22.372,20.187,19.548,2.046,3.57,20795.723,0.0,0.047,0.0,17.3,2025-06-28T21:52:28Z,2025-06-29T15:10:35Z
2025-06-30,21.371,70.042,15.5,22.425,20.479,20.075,1.683,3.562,23280.001,0.0,0.139,0.0,22.214,66.198,15.45,23.23,20.814,20.285,1.777,3.118,24029.871,0.0,0.192,0.0,17.29,2025-06-29T21:53:11Z,2025-06-30T15:10:17Z
datetime,datetime_iso,wind_speed_10m_m_per_s,wind_speed_80m_m_per_s,temperature_2m_celsius,apparent_temperature_celsius,temperature_80m_celsius,temperature_120m_celsius,soil_temperature_0cm_celsius,soil_temperature_6cm_celsius,rain_mm,showers_mm,snowfall_mm
2025-06-16 00:00:00+07:00,2025-06-15T17:00:00Z,2.1,4.5,20.8,23.0,20.1,19.6,21.3,22.2,0.0,0.305,0.0
2025-06-16 01:00:00+07:00,2025-06-15T18:00:00Z,2.3,5.2,19.8,21.2,19.1,18.4,19.9,21.3,0.0,0.0,0.0
2025-06-16 02:00:00+07:00,2025-06-15T19:00:00Z,2.2,4.7,19.2,20.4,18.4,18.1,19.3,20.8,0.0,0.0,0.0
2025-06-16 03:00:00+07:00,2025-06-15T20:00:00Z,1.6,4.0,18.7,20.1,18.1,17.8,18.8,20.3,0.0,0.0,0.0
2025-06-16 04:00:00+07:00,2025-06-15T21:00:00Z,1.5,4.0,18.3,19.7,17.8,17.7,18.3,19.8,0.0,0.0,0.0
2025-06-16 05:00:00+07:00,2025-06-15T22:00:00Z,1.6,4.3,17.8,19.2,17.3,17.3,17.8,19.4,0.0,0.0,0.0
2025-06-16 06:00:00+07:00,2025-06-15T23:00:00Z,1.7,4.4,17.8,19.0,17.1,16.9,18.5,19.1,0.0,0.0,0.0
2025-06-16 07:00:00+07:00,2025-06-16T00:00:00Z,2.1,3.6,18.3,19.4,17.2,16.7,19.9,19.3,0.0,0.0,0.0
2025-06-16 08:00:00+07:00,2025-06-16T01:00:00Z,2.5,4.2,19.1,19.9,17.7,16.9,21.6,19.8,0.0,0.0,0.0
2025-06-16 09:00:00+07:00,2025-06-16T02:00:00Z,2.9,4.8,20.4,21.1,18.8,17.9,23.9,20.7,0.0,0.0,0.0
2025-06-16 10:00:00+07:00,2025-06-16T03:00:00Z,3.2,5.4,21.9,22.3,20.1,19.3,25.6,21.8,0.0,0.0,0.0
2025-06-16 11:00:00+07:00,2025-06-16T04:00:00Z,3.5,5.9,22.8,23.0,20.8,19.9,27.0,22.9,0.0,0.0,0.0
2025-06-16 12:00:00+07:00,2025-06-16T05:00:00Z,3.5,5.9,23.6,23.8,21.3,20.6,28.4,23.9,0.0,0.0,0.0
2025-06-16 13:00:00+07:00,2025-06-16T06:00:00Z,3.1,4.9,24.2,25.0,21.8,21.1,29.4,24.9,0.0,0.0,0.0
2025-06-16 14:00:00+07:00,2025-06-16T07:00:00Z,2.9,4.4,25.2,26.2,22.7,21.8,31.0,26.2,0.0,0.0,0.0
2025-06-16 15:00:00+07:00,2025-06-16T08:00:00Z,2.9,4.4,25.7,26.3,23.2,22.4,31.1,26.9,0.0,0.0,0.0
2025-06-16 16:00:00+07:00,2025-06-16T09:00:00Z,3.1,4.7,26.1,26.3,23.7,22.8,30.9,27.4,0.0,0.0,0.0
2025-06-16 17:00:00+07:00,2025-06-16T10:00:00Z,3.1,4.8,26.2,25.8,23.9,23.2,29.8,27.6,0.0,0.0,0.0
2025-06-16 18:00:00+07:00,2025-06-16T11:00:00Z,3.0,4.8,25.8,25.2,23.9,23.2,28.6,27.3,0.0,0.0,0.0
2025-06-16 19:00:00+07:00,2025-06-16T12:00:00Z,2.7,4.5,25.8,25.1,24.2,23.4,27.7,26.8,0.0,0.0,0.0
2025-06-16 20:00:00+07:00,2025-06-16T13:00:00Z,2.4,4.2,25.2,24.6,23.8,23.2,25.6,26.1,0.0,0.0,0.0
2025-06-16 21:00:00+07:00,2025-06-16T14:00:00Z,1.8,3.7,24.4,24.3,23.7,22.9,23.6,25.0,0.0,0.0,0.0
2025-06-16 22:00:00+07:00,2025-06-16T15:00:00Z,1.0,3.1,23.1,23.7,23.1,22.6,21.3,23.7,0.0,0.0,0.0
2025-06-16 23:00:00+07:00,2025-06-16T16:00:00Z,0.9,2.8,21.8,22.9,22.6,22.2,19.9,22.3,0.0,0.0,0.0
2025-06-17 00:00:00+07:00,2025-06-16T17:00:00Z,0.8,2.7,20.8,22.0,22.1,21.7,19.1,21.3,0.0,0.0,0.0
2025-06-17 01:00:00+07:00,2025-06-16T18:00:00Z,0.3,1.4,19.3,20.7,20.3,19.9,16.8,19.7,0.0,0.0,0.0
2025-06-17 02:00:00+07:00,2025-06-16T19:00:00Z,0.5,1.0,18.7,20.1,20.1,19.8,16.1,18.8,0.0,0.0,0.0
2025-06-17 03:00:00+07:00,2025-06-16T20:00:00Z,0.4,0.6,17.8,19.4,19.6,19.3,15.4,18.2,0.0,0.0,0.0
2025-06-17 04:00:00+07:00,2025-06-16T21:00:00Z,0.5,0.4,16.6,18.2,19.2,19.1,15.1,17.6,0.0,0.0,0.0
2025-06-17 05:00:00+07:00,2025-06-16T22:00:00Z,0.4,0.6,15.7,17.3,18.8,18.8,14.5,17.1,0.0,0.0,0.0
2025-06-17 06:00:00+07:00,2025-06-16T23:00:00Z,0.5,0.9,15.3,16.9,18.3,18.4,15.4,16.7,0.0,0.0,0.0
2025-06-17 07:00:00+07:00,2025-06-17T00:00:00Z,0.3,1.1,16.7,18.5,18.7,18.8,19.1,17.3,0.0,0.0,0.0
2025-06-17 08:00:00+07:00,2025-06-17T01:00:00Z,0.3,1.0,19.2,20.7,18.4,18.7,22.6,18.6,0.0,0.0,0.0
2025-06-17 09:00:00+07:00,2025-06-17T02:00:00Z,0.5,0.7,21.5,22.9,19.8,19.2,25.9,20.3,0.0,0.0,0.0
2025-06-17 10:00:00+07:00,2025-06-17T03:00:00Z,0.3,0.3,23.3,24.8,21.3,20.6,27.9,22.2,0.0,0.0,0.0
2025-06-17 11:00:00+07:00,2025-06-17T04:00:00Z,0.5,0.6,24.6,26.7,22.4,21.8,30.2,23.9,0.0,0.0,0.0
2025-06-17 12:00:00+07:00,2025-06-17T05:00:00Z,0.5,0.7,25.7,27.9,23.3,22.7,31.6,25.5,0.0,0.0,0.0
2025-06-17 13:00:00+07:00,2025-06-17T06:00:00Z,0.4,0.6,25.8,28.1,23.6,22.8,31.3,26.6,0.0,0.0,0.0
2025-06-17 14:00:00+07:00,2025-06-17T07:00:00Z,0.5,0.5,26.7,28.8,24.3,23.7,32.1,27.3,0.0,0.0,0.0
2025-06-17 15:00:00+07:00,2025-06-17T08:00:00Z,0.6,0.7,27.3,29.2,24.9,24.2,32.8,28.0,0.0,0.0,0.0
2025-06-17 16:00:00+07:00,2025-06-17T09:00:00Z,0.9,1.1,27.8,29.4,25.4,24.8,33.2,28.6,0.0,0.0,0.0
2025-06-17 17:00:00+07:00,2025-06-17T10:00:00Z,1.1,1.3,28.0,28.9,25.9,25.2,32.5,28.9,0.0,0.0,0.0
2025-06-17 18:00:00+07:00,2025-06-17T11:00:00Z,1.4,1.7,28.1,28.2,26.3,25.4,31.2,28.8,0.0,0.0,0.0
2025-06-17 19:00:00+07:00,2025-06-17T12:00:00Z,1.5,2.0,27.6,27.8,26.2,25.4,28.8,28.1,0.0,0.0,0.0
2025-06-17 20:00:00+07:00,2025-06-17T13:00:00Z,1.2,1.7,27.1,27.3,25.9,25.3,26.8,27.1,0.0,0.0,0.0
2025-06-17 21:00:00+07:00,2025-06-17T14:00:00Z,1.1,2.2,25.9,26.5,25.7,24.9,24.3,25.9,0.0,0.0,0.0
2025-06-17 22:00:00+07:00,2025-06-17T15:00:00Z,0.6,1.9,24.3,25.6,25.3,24.8,21.8,24.4,0.0,0.0,0.0
2025-06-17 23:00:00+07:00,2025-06-17T16:00:00Z,0.7,1.1,23.4,24.5,25.2,24.7,20.7,23.0,0.0,0.0,0.0
2025-06-18 00:00:00+07:00,2025-06-17T17:00:00Z,1.0,2.2,22.8,23.6,24.8,24.6,19.8,21.9,0.0,0.0,0.0
2025-06-18 01:00:00+07:00,2025-06-17T18:00:00Z,1.1,3.1,20.4,21.6,23.8,23.4,18.1,20.5,0.0,0.0,0.0
2025-06-18 02:00:00+07:00,2025-06-17T19:00:00Z,1.4,3.9,20.1,21.2,23.1,22.9,17.4,19.8,0.0,0.0,0.0
2025-06-18 03:00:00+07:00,2025-06-17T20:00:00Z,1.1,4.3,18.6,20.0,22.2,22.3,17.3,19.2,0.0,0.0,0.0
2025-06-18 04:00:00+07:00,2025-06-17T21:00:00Z,1.0,3.8,17.9,19.4,21.7,21.9,16.7,18.7,0.0,0.0,0.0
2025-06-18 05:00:00+07:00,2025-06-17T22:00:00Z,1.0,3.3,17.7,19.1,21.2,21.4,16.2,18.3,0.0,0.0,0.0
2025-06-18 06:00:00+07:00,2025-06-17T23:00:00Z,1.0,3.3,17.6,18.8,20.8,20.8,17.2,17.9,0.0,0.0,0.0
2025-06-18 07:00:00+07:00,2025-06-18T00:00:00Z,0.8,2.7,18.4,20.4,20.4,20.7,20.1,18.3,0.0,0.0,0.0
2025-06-18 08:00:00+07:00,2025-06-18T01:00:00Z,1.0,2.4,21.2,23.1,20.3,20.3,23.3,19.4,0.0,0.0,0.0
2025-06-18 09:00:00+07:00,2025-06-18T02:00:00Z,1.3,1.8,23.0,24.4,21.4,20.8,25.6,21.0,0.0,0.0,0.0
2025-06-18 10:00:00+07:00,2025-06-18T03:00:00Z,1.2,1.5,24.6,26.1,22.7,21.9,27.8,22.6,0.0,0.0,0.0
2025-06-18 11:00:00+07:00,2025-06-18T04:00:00Z,0.8,1.0,25.9,28.2,23.8,23.2,29.6,24.1,0.0,0.0,0.0
2025-06-18 12:00:00+07:00,2025-06-18T05:00:00Z,0.7,0.9,27.2,29.9,24.8,24.2,30.8,25.3,0.0,0.0,0.0
2025-06-18 13:00:00+07:00,2025-06-18T06:00:00Z,0.6,0.8,28.4,31.2,26.1,25.3,32.6,26.9,0.0,0.0,0.0
2025-06-18 14:00:00+07:00,2025-06-18T07:00:00Z,0.6,0.8,29.3,32.4,26.8,26.2,33.4,28.1,0.0,0.0,0.0
2025-06-18 15:00:00+07:00,2025-06-18T08:00:00Z,0.6,0.8,29.9,32.6,27.7,26.8,33.6,28.7,0.0,0.0,0.0
2025-06-18 16:00:00+07:00,2025-06-18T09:00:00Z,0.6,0.8,30.4,32.8,28.2,27.4,33.6,29.2,0.0,0.0,0.0
2025-06-18 17:00:00+07:00,2025-06-18T10:00:00Z,1.1,1.3,30.6,32.1,28.6,27.8,33.1,29.4,0.0,0.0,0.0
2025-06-18 18:00:00+07:00,2025-06-18T11:00:00Z,1.5,2.0,30.4,31.1,28.8,27.9,31.7,29.3,0.0,0.0,0.0
2025-06-18 19:00:00+07:00,2025-06-18T12:00:00Z,1.1,1.4,30.2,30.9,28.8,28.1,30.9,29.4,0.0,0.0,0.0
2025-06-18 20:00:00+07:00,2025-06-18T13:00:00Z,0.9,1.3,29.6,30.7,28.7,27.9,28.8,28.6,0.0,0.0,0.0
2025-06-18 21:00:00+07:00,2025-06-18T14:00:00Z,0.3,0.3,28.8,30.9,28.4,27.8,27.1,27.6,0.0,0.0,0.0
2025-06-18 22:00:00+07:00,2025-06-18T15:00:00Z,0.8,1.7,27.4,29.4,28.2,27.7,24.1,26.3,0.0,0.0,0.0
2025-06-18 23:00:00+07:00,2025-06-18T16:00:00Z,1.1,3.0,25.4,27.5,27.3,27.1,22.3,24.8,0.0,0.0,0.0
2025-06-19 00:00:00+07:00,2025-06-18T17:00:00Z,1.1,3.4,23.4,25.5,26.7,26.8,21.1,23.6,0.0,0.0,0.0
2025-06-19 01:00:00+07:00,2025-06-18T18:00:00Z,1.0,3.3,21.1,23.3,25.2,25.6,19.6,22.1,0.0,0.0,0.0
2025-06-19 02:00:00+07:00,2025-06-18T19:00:00Z,1.1,3.8,19.9,21.7,24.8,25.2,18.8,21.3,0.0,0.0,0.0
2025-06-19 03:00:00+07:00,2025-06-18T20:00:00Z,1.1,4.1,19.1,20.5,24.2,24.6,18.1,20.6,0.0,0.0,0.0
2025-06-19 04:00:00+07:00,2025-06-18T21:00:00Z,1.1,4.1,18.6,19.7,23.7,24.2,17.6,19.8,0.0,0.0,0.0
2025-06-19 05:00:00+07:00,2025-06-18T22:00:00Z,1.0,3.7,18.1,19.2,23.2,23.8,16.9,19.3,0.0,0.0,0.0
2025-06-19 06:00:00+07:00,2025-06-18T23:00:00Z,0.9,3.3,17.9,19.3,22.9,23.7,17.9,18.8,0.0,0.0,0.0
2025-06-19 07:00:00+07:00,2025-06-19T00:00:00Z,0.8,2.9,19.6,21.3,22.8,23.6,21.2,19.3,0.0,0.0,0.0
2025-06-19 08:00:00+07:00,2025-06-19T01:00:00Z,1.0,2.7,22.8,24.7,22.9,23.6,25.2,20.6,0.0,0.0,0.0
2025-06-19 09:00:00+07:00,2025-06-19T02:00:00Z,1.1,1.5,25.3,27.1,23.8,23.7,28.6,22.4,0.0,0.0,0.0
2025-06-19 10:00:00+07:00,2025-06-19T03:00:00Z,1.4,2.1,27.4,28.8,25.7,24.8,31.1,24.4,0.0,0.0,0.0
2025-06-19 11:00:00+07:00,2025-06-19T04:00:00Z,1.9,2.6,28.8,30.3,26.8,26.2,32.6,26.2,0.0,0.0,0.0
2025-06-19 12:00:00+07:00,2025-06-19T05:00:00Z,2.2,3.1,30.0,31.9,27.8,27.1,34.0,27.6,0.0,0.0,0.0
2025-06-19 13:00:00+07:00,2025-06-19T06:00:00Z,2.6,3.8,30.5,32.3,28.2,27.4,35.6,28.9,0.0,0.0,0.0
2025-06-19 14:00:00+07:00,2025-06-19T07:00:00Z,2.8,4.3,31.6,33.7,29.2,28.3,36.6,30.1,0.0,0.0,0.0
2025-06-19 15:00:00+07:00,2025-06-19T08:00:00Z,2.9,4.5,32.3,34.0,29.9,29.2,36.9,30.9,0.0,0.0,0.0
2025-06-19 16:00:00+07:00,2025-06-19T09:00:00Z,2.9,4.4,32.8,33.8,30.6,29.8,36.4,31.6,0.0,0.0,0.0
2025-06-19 17:00:00+07:00,2025-06-19T10:00:00Z,2.9,4.6,32.9,33.2,30.9,30.2,35.6,31.7,0.0,0.0,0.0
2025-06-19 18:00:00+07:00,2025-06-19T11:00:00Z,2.7,4.3,32.9,32.8,31.3,30.4,34.5,31.6,0.0,0.0,0.0
2025-06-19 19:00:00+07:00,2025-06-19T12:00:00Z,1.7,2.9,32.4,32.9,31.3,30.6,32.3,30.3,0.0,0.0,0.0
